Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2020,44811,Men's clothing stores,790,786,345,83,153,346,493,458,460,(S),(S),505,,
2020,44812,Women's clothing stores,"3,292","3,253","1,500",494,"1,008","2,170","2,614","2,669","2,864","2,796","2,624","2,697",,
2020,4482,Shoe stores,"3,159","3,172","1,701",485,"1,652","3,071","2,736","2,319","3,031","2,939","2,695","2,928",,
2020,44831,Jewelry stores,"2,880","2,735","1,730",540,"1,344","2,529","2,868","3,014","3,085","2,990","3,021","3,196",,
2020,451,"Sporting goods, hobby, musical instrument, and book stores","6,735","6,716","5,538","3,712","6,483","8,142","7,886","7,339","7,783","7,687","7,697","7,636",,
2020,452,General merchandise stores,"60,511","60,843","62,671","55,886","60,881","61,594","61,404","60,222","62,044","61,251","60,726","61,068",,
2020,4521,Department stores,"10,861","10,868","8,830","6,191","8,765","9,565","9,580","9,395","10,307","9,852","9,501","9,655",,
2020,4529,Other general merchandise stores,"49,650","49,975","53,841","49,695","52,116","52,029","51,824","50,827","51,737","51,399","51,225","51,413",,
2020,45291,Warehouse clubs and superstores,"42,770","43,036","45,799","42,294","44,198","44,119","44,063","43,106","43,975","43,723","43,683","44,013",,
2020,45299,All other gen. merchandise stores,"6,880","6,939","8,042","7,401","7,918","7,910","7,761","7,721","7,762","7,676","7,542","7,400",,
2020,453,Miscellaneous stores retailers,"11,597","11,547","9,774","7,131","8,662","10,595","11,111","11,321","11,381","11,394","11,479","12,117",,
2020,454,Nonstore retailers,"65,587","66,416","70,636","78,848","85,171","84,508","86,034","88,289","88,097","88,932","89,714","90,690",,
2020,4541,Electronic shopping and mail order houses,"58,011","58,654","63,387","72,934","79,005","77,696","78,229","80,474","80,047","80,528","82,016","82,940",,
2020,45431,Fuel dealers,"2,620","2,564","2,356","2,292","2,336","2,278","2,398","2,437","2,562","2,333","2,199","2,478",,
2020,722,Food services and drinking places,"68,657","68,683","48,245","31,195","41,045","52,838","55,383","57,913","59,559","59,283","57,015","53,775",,
2019,441,Motor vehicle and parts dealers,"99,281","100,686","103,409","101,231","103,095","102,851","103,308","105,873","103,346","103,300","106,127","104,413",,
2019,"4411,4412",Automobile and other motor vehicle dealers,"91,571","92,677","95,277","93,129","95,003","94,735","95,219","97,687","95,300","95,216","97,994","96,376",,
2019,4413,"Automotive parts, acc., and tire stores","7,710","8,009","8,132","8,102","8,092","8,116","8,089","8,186","8,046","8,084","8,133","8,037",,
2019,"442,443","Furniture, home furn, electronics, and appliance stores","17,471","17,425","17,541","17,403","17,681","17,672","17,729","17,672","17,818","17,611","17,679","17,765",,
2019,442,Furniture and home furnishings stores,"9,760","9,799","9,901","9,941","10,034","10,075","10,101","10,089","10,232","10,090","10,181","10,231",,
2019,443,Electronics and appliance stores,"7,711","7,626","7,640","7,462","7,647","7,597","7,628","7,583","7,586","7,521","7,498","7,534",,
2019,444,Building mat. and garden equip. and supplies dealers,"31,903","30,496","30,808","30,815","30,569","30,617","31,104","31,495","31,145","31,146","31,207","31,566",,
